"session","year","issue","n_members","asean_mean","asean_sd","asean_min","asean_max","asean_range","us_idealpoint","china_idealpoint","mean_dist_us","mean_dist_china"
42,1987,"Human Rights",10,-0.477184674,0.535203058395387,-1.303934,0.1650267,1.4689607,3.106385,-0.2265361,3.583569674,0.250648574
42,1987,"Important Votes",10,-0.3456394028,0.930591210896714,-2.074692,0.3471392,2.4218312,2.451228,0.1640001,2.7968674028,0.5096395028
42,1987,"Middle East",10,-0.42475752,0.521339893261918,-1.309399,0.2806008,1.5899998,3.195609,-0.5554947,3.62036652,0.13073718
42,1987,"Non-Nuclear",10,-0.420066443,0.446611703941717,-1.228859,0.01613497,1.24499397,3.031489,-0.0538274,3.451555443,0.366239043
42,1987,"Nuclear",10,-0.4381968046,0.349863392251937,-0.9210049,0.2064543,1.1274592,3.613828,0.887585,4.0520248046,1.3257818046
43,1988,"All",10,-0.454456226,0.402072265208308,-1.293178,0.01409959,1.30727759,3.068073,-0.02298023,3.522529226,0.431475996
43,1988,"Human Rights",10,-0.503985233,0.4406202095695,-1.044235,0.3022018,1.3464368,2.974798,-0.3252013,3.478783233,0.178783933
43,1988,"Important Votes",10,-0.441969817,0.924481000421645,-2.129403,0.4248888,2.5542918,3.02045,0.1968561,3.462419817,0.638825917
43,1988,"Middle East",10,-0.44121247,0.434599639013022,-1.152217,0.1944529,1.3466699,2.87798,-0.6005995,3.31919247,0.15938703
43,1988,"Non-Nuclear",10,-0.452556359,0.435791035118712,-1.39634,0.03184377,1.42818377,3.013705,-0.2483772,3.466261359,0.204179159
43,1988,"Nuclear",10,-0.458142016,0.346230247865139,-0.9388758,0.1308874,1.0697632,3.596776,0.7527809,4.054918016,1.210922916
44,1989,"All",10,-0.4519768,0.24399596854553,-0.7832253,-0.1117196,0.6715057,3.15064,-0.07522176,3.6026168,0.37675504
44,1989,"Human Rights",10,-0.46459385,0.400640861157566,-0.9316756,0.4126863,1.3443619,2.927021,-0.4459684,3.39161485,0.01862545
44,1989,"Important Votes",10,-0.4400773,0.83697696489894,-1.964505,0.2744838,2.2389888,3.392913,0.5495436,3.8329903,0.9896209
44,1989,"Middle East",10,-0.446822315,0.348595616628032,-0.9141382,0.09401133,1.00814953,2.840029,-0.5993323,3.286851315,0.152509985
44,1989,"Non-Nuclear",10,-0.413248643,0.254561269221098,-0.7833015,-0.01639273,0.76690877,3.136412,-0.3130107,3.549660643,0.100237943
44,1989,"Nuclear",10,-0.478335595,0.335453818692706,-0.9037835,0.1063929,1.0101764,3.498615,0.6325205,3.976950595,1.110856095
45,1990,"All",9,-0.585998222222222,0.236397880805469,-0.9032005,-0.2221511,0.6810494,3.06766,-0.1670653,3.65365822222222,0.418932922222222
45,1990,"Human Rights",9,-0.529035798888889,0.258375566896287,-0.8373506,-0.01523469,0.82211591,2.939404,-0.4751009,3.46843979888889,0.0539348988888889
45,1990,"Important Votes",9,-0.524462225555556,0.773103949306227,-1.804739,0.2857214,2.0904604,3.325712,0.06364692,3.85017422555556,0.588109145555556
45,1990,"Middle East",9,-0.444714437777778,0.349389977449668,-0.7913654,0.0913288,0.8826942,2.809386,-0.6725054,3.25410043777778,0.227790962222222
45,1990,"Non-Nuclear",9,-0.605250777777778,0.250081470610063,-1.093708,-0.3113698,0.7823382,3.048921,-0.6756167,3.65417177777778,0.0703659222222222
45,1990,"Nuclear",9,-0.489594928888889,0.335315793702377,-0.9408967,0.05443041,0.99532711,3.525317,0.5317576,4.01491192888889,1.02135252888889
46,1991,"All",10,-0.79781475,0.299509946070281,-1.265489,-0.4305252,0.8349638,2.977167,-0.3023714,3.77498175,0.49544335
46,1991,"Human Rights",10,-0.66141315,0.415652855315168,-1.205626,-0.1435479,1.0620781,2.921711,-0.7907908,3.58312415,0.12937765
46,1991,"Important Votes",10,-0.777046738,0.592359617087049,-1.748383,-0.05728488,1.69109812,3.262035,-0.4795161,4.039081738,0.297530638
46,1991,"Middle East",10,-0.56181216,0.249996300711591,-0.7900289,-0.0583825,0.7316464,2.853312,-0.7190262,3.41512416,0.15721404
46,1991,"Non-Nuclear",10,-0.79615915,0.293499665063664,-1.236733,-0.44074,0.795993,2.959138,-0.901679,3.75529715,0.10551985
46,1991,"Nuclear",10,-0.5371865,0.303276590924223,-0.9621893,0.02785241,0.99004171,3.405946,0.3546147,3.9431325,0.8918012
47,1992,"All",10,-0.79990942,0.361850827176003,-1.299378,-0.1674723,1.1319057,3.000798,-0.7356746,3.80070742,0.06423482
47,1992,"Human Rights",9,-0.886019433666667,0.50812697771459,-1.347707,0.001436497,1.349143497,2.713206,-1.455593,3.59922543366667,0.569573566333333
47,1992,"Important Votes",9,-1.06224375555556,0.649544709640214,-1.77151,0.126259,1.897769,3.345111,-1.388691,4.40735475555556,0.326447244444444
