"session","year","issue","mean_dist_us","mean_dist_china","pct_closer_china"
67,2012,"Nuclear",3.06275042,0.78755352,1
68,2013,"All",3.48894544,0.31668948,1
68,2013,"Human Rights",3.07158095,0.63488305,1
68,2013,"Important Votes",3.185033646,0.504648154,1
68,2013,"Middle East",3.211984412,0.168096448,1
68,2013,"Non-Nuclear",3.59386541,0.33665779,1
68,2013,"Nuclear",2.95762972,0.80804672,1
69,2014,"All",3.49687627,0.24329251,1
69,2014,"Human Rights",3.05529676,0.76426124,1
69,2014,"Important Votes",3.129162674,0.863909326,1
69,2014,"Middle East",3.29013406,0.14063552,1
69,2014,"Non-Nuclear",3.56107253,0.50286147,1
69,2014,"Nuclear",2.99277485,0.79296505,1
70,2015,"All",3.46418107,0.61237527,1
70,2015,"Human Rights",2.94491004,0.77102296,1
70,2015,"Important Votes",3.22968087,0.68677513,1
70,2015,"Middle East",3.26807234,0.14452184,1
70,2015,"Non-Nuclear",3.49404054,0.67522046,1
70,2015,"Nuclear",2.82743067,1.07209557,1
71,2016,"All",3.35664041,0.36956701,1
71,2016,"Human Rights",2.83088294,0.85547206,1
71,2016,"Important Votes",2.92649953,1.13826347,1
71,2016,"Middle East",3.29117742,0.1421169,1
71,2016,"Non-Nuclear",3.40666082,0.79410618,1
71,2016,"Nuclear",2.7843364,1.0566862,1
72,2017,"All",3.55085086,0.49296246,1
72,2017,"Human Rights",2.85484766,0.89699734,1
72,2017,"Important Votes",3.21629946,1.11543654,1
72,2017,"Middle East",3.210038485,0.159376095,1
72,2017,"Non-Nuclear",3.60142916,0.90463384,1
72,2017,"Nuclear",2.70493239,1.05491709,1
73,2018,"All",3.5802025,0.37199066,1
73,2018,"Human Rights",3.06343914,1.01923686,1
73,2018,"Important Votes",3.41422694,1.27467006,1
73,2018,"Middle East",3.2676453474,0.2100231526,1
73,2018,"Non-Nuclear",3.70429828,0.94653172,1
73,2018,"Nuclear",2.60057867,0.99929967,1
74,2019,"All",3.44278232,0.41434392,1
74,2019,"Human Rights",2.96079654,0.98266346,1
74,2019,"Middle East",3.26600655,0.22704205,1
74,2019,"Non-Nuclear",3.59667076,0.87086124,1
74,2019,"Nuclear",2.54404583,0.95159223,1
